run_id,lambda,multiplier,selected_epsilon_norm_mean,selected_epsilon_norm_max,radius_mean,radius_max,selected_norm_cap_ratio_mean,selected_norm_cap_ratio_max,cap_bound_fraction,raw_loss_gain,energy_mean,energy_penalty,penalized_gain_over_zero,finite_status
open_loop_small,27849136.671999995,0.25,0.004545500036329031,0.004545500501990318,0.004545500036329031,0.004545500036329031,1.0,1.0000001192092896,1.0,7202.891273201175,2.0661567759816535e-05,575.4068244009194,6627.484448800255,finite
open_loop_small,55698273.34399999,0.5,0.004545500501990318,0.004545500501990318,0.004545500036329031,0.004545500036329031,0.9999999403953552,1.0000001192092896,1.0,7205.626066037351,2.066156594082713e-05,1150.81354748727,6054.81251855008,finite
open_loop_small,111396546.68799998,1.0,0.004545499570667744,0.004545500501990318,0.004545500036329031,0.004545500036329031,0.9999999403953552,1.0000001192092896,1.0,7209.155337800493,2.0661567759816535e-05,2301.6272976036776,4907.528040196815,finite
open_loop_small,222793093.37599996,2.0,0.004545499570667744,0.004545500967651606,0.004545500036329031,0.004545500036329031,1.0,1.000000238418579,1.0,7210.6114789914345,2.066156957880594e-05,4603.255000465631,2607.356478525803,finite
open_loop_small,445586186.7519999,4.0,0.0011363750090822577,0.0011363751254975796,0.004545500036329031,0.004545500036329031,0.25,0.2500000298023224,0.0,806.7202919572728,1.2913480986753711e-06,575.4068750582039,231.31432873019003,finite
open_loop_moderate,25732888.411999997,0.25,0.004545500036329031,0.004545500501990318,0.004545500036329031,0.004545500036329031,1.0,1.0000001192092896,1.0,6473.600344892141,2.0661573216784745e-05,531.6819580038897,5941.918386888251,finite
open_loop_moderate,51465776.82399999,0.5,0.004545500501990318,0.004545500501990318,0.004545500036329031,0.004545500036329031,1.0,1.0000001192092896,1.0,6481.422003410517,2.0661571397795342e-05,1063.3638223920766,5418.05818101844,finite
open_loop_moderate,102931553.64799999,1.0,0.004545500036329031,0.004545500501990318,0.004545500036329031,0.004545500036329031,1.0,1.0000001192092896,1.0,6490.765460461823,2.0661571397795342e-05,2126.727644784153,4364.037815677671,finite
open_loop_moderate,205863107.29599997,2.0,0.004545500036329031,0.004545500967651606,0.004545500036329031,0.004545500036329031,1.0,1.000000238418579,1.0,6493.858527310745,2.066156957880594e-05,4253.454915105496,2240.4036122052485,finite
open_loop_moderate,411726214.59199995,4.0,0.0011363751254975796,0.0011363752419129014,0.004545500036329031,0.004545500036329031,0.2500000298023224,0.2500000596046448,0.0,709.5006929760029,1.2913482123622089e-06,531.6819111960383,177.81920305062704,finite
open_loop_stress,33951405.768,0.25,0.004545499570667744,0.004545500501990318,0.004545500036329031,0.004545500036329031,1.0,1.0000001192092896,1.0,6179.082873343334,2.0661567759816535e-05,701.4892708165579,5477.5936025267765,finite
open_loop_stress,67902811.536,0.5,0.004545499570667744,0.004545500501990318,0.004545500036329031,0.004545500036329031,1.0,1.0000001192092896,1.0,6188.992704969798,2.066156957880594e-05,1402.9786651476104,4786.014039822188,finite
open_loop_stress,135805623.072,1.0,0.004545499570667744,0.004545500501990318,0.004545500036329031,0.004545500036329031,0.9999998807907104,1.0000001192092896,1.0,6197.098303637622,2.066156594082713e-05,2805.9568362372424,3391.141467400379,finite
open_loop_stress,271611246.144,2.0,0.0031327069737017155,0.004523801151663065,0.004545500036329031,0.004545500036329031,0.6891885995864868,0.995226263999939,0.0,3725.695648810917,1.1018492841685656e-05,2992.746571358985,732.9530299157614,finite
open_loop_stress,543222492.288,4.0,0.0011363751254975796,0.0011363752419129014,0.004545500036329031,0.004545500036329031,0.25,0.2500000596046448,0.0,723.7653985912766,1.2913483260490466e-06,701.4894560882999,22.276930618933875,finite
